,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,92.1432661856977,85.1369849269947,92.12594876187369,92.1432661856977,92.1432661856977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6406929408026785,-3.6406929408026785,-3.6406929408026785,-7.232820914567888,-7.232820914567888,-7.232820914567888,0.0,0.0,0.0,-0.42229057726511476,-0.42229057726511476,-0.42229057726511476,4.014418551030325,4.014418551030325,4.014418551030325,0.0,0.0,0.0,88.50257324489502
1,2014-07-15,92.17527960338411,85.29869397011767,92.30956756039858,92.17527960338411,92.17527960338411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.413840871961954,-3.413840871961954,-3.413840871961954,-7.232820914567888,-7.232820914567888,-7.232820914567888,0.0,0.0,0.0,-0.2896474716738736,-0.2896474716738736,-0.2896474716738736,4.108627514279808,4.108627514279808,4.108627514279808,0.0,0.0,0.0,88.76143873142216
2,2014-07-16,92.20729302107054,85.31117418323652,92.36743202569524,92.20729302107054,92.20729302107054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.348802039750037,-3.348802039750037,-3.348802039750037,-7.232820914567888,-7.232820914567888,-7.232820914567888,0.0,0.0,0.0,-0.29763669099469453,-0.29763669099469453,-0.29763669099469453,4.181655565812547,4.181655565812547,4.181655565812547,0.0,0.0,0.0,88.8584909813205
3,2014-07-17,92.23930643875696,85.6065484575964,92.46034806071444,92.23930643875696,92.23930643875696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.398593097209829,-3.398593097209829,-3.398593097209829,-7.232820914567888,-7.232820914567888,-7.232820914567888,0.0,0.0,0.0,-0.3988404868390793,-0.3988404868390793,-0.3988404868390793,4.233068304197139,4.233068304197139,4.233068304197139,0.0,0.0,0.0,88.84071334154713
4,2014-07-18,92.27131985644337,85.4854499416155,92.44686250115672,92.27131985644337,92.27131985644337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.369667163893391,-3.369667163893391,-3.369667163893391,-7.232820914567888,-7.232820914567888,-7.232820914567888,0.0,0.0,0.0,-0.3997898564161757,-0.3997898564161757,-0.3997898564161757,4.262943607090674,4.262943607090674,4.262943607090674,0.0,0.0,0.0,88.90165269254997
5,2014-07-21,92.36736010950263,85.58640841476897,92.18651896274706,92.36736010950264,92.36736010950264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.423613053547732,-3.423613053547732,-3.423613053547732,-7.232820914567888,-7.232820914567888,-7.232820914567888,0.0,0.0,0.0,-0.42229057726507635,-0.42229057726507635,-0.42229057726507635,4.231498438285233,4.231498438285233,4.231498438285233,0.0,0.0,0.0,88.9437470559549
6,2014-07-22,92.39937352718906,85.41325545424452,92.3408404748817,92.39937352718906,92.39937352718906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.336856955231393,-3.336856955231393,-3.336856955231393,-7.232820914567888,-7.232820914567888,-7.232820914567888,0.0,0.0,0.0,-0.2896474716734637,-0.2896474716734637,-0.2896474716734637,4.18561143100996,4.18561143100996,4.18561143100996,0.0,0.0,0.0,89.06251657195766
7,2014-07-23,92.43138694487547,85.58387648547357,92.3997378124108,92.43138694487547,92.43138694487547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.405009501113986,-3.405009501113986,-3.405009501113986,-7.232820914567888,-7.232820914567888,-7.232820914567888,0.0,0.0,0.0,-0.29763669099441203,-0.29763669099441203,-0.29763669099441203,4.1254481044483144,4.1254481044483144,4.1254481044483144,0.0,0.0,0.0,89.02637744376149
8,2014-07-24,92.4634003625619,85.4654166506092,92.10207044447004,92.4634003625619,92.4634003625619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.578154153489226,-3.578154153489226,-3.578154153489226,-7.232820914567888,-7.232820914567888,-7.232820914567888,0.0,0.0,0.0,-0.39884048683953993,-0.39884048683953993,-0.39884048683953993,4.053507247918203,4.053507247918203,4.053507247918203,0.0,0.0,0.0,88.88524620907268
9,2014-07-25,92.4954137802483,85.19904472914496,92.02319016935317,92.4954137802483,92.4954137802483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.66012661677413,-3.66012661677413,-3.66012661677413,-7.232820914567888,-7.232820914567888,-7.232820914567888,0.0,0.0,0.0,-0.3997898564162598,-0.3997898564162598,-0.3997898564162598,3.972484154210019,3.972484154210019,3.972484154210019,0.0,0.0,0.0,88.83528716347416
