,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,67.3982312053441,66.41173638662049,71.3454543341102,67.3982312053441,67.3982312053441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4247487815152193,1.4247487815152193,1.4247487815152193,0.8219549308279793,0.8219549308279793,0.8219549308279793,0.0,0.0,0.0,-0.02373461716116375,-0.02373461716116375,-0.02373461716116375,0.6265284678484041,0.6265284678484041,0.6265284678484041,0.0,0.0,0.0,68.82297998685932
1,2014-07-15,67.32870300903149,66.43176913447653,71.1385350782611,67.32870300903149,67.32870300903149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4831995077503435,1.4831995077503435,1.4831995077503435,0.8219549308279793,0.8219549308279793,0.8219549308279793,0.0,0.0,0.0,0.03254853484621207,0.03254853484621207,0.03254853484621207,0.6286960420761517,0.6286960420761517,0.6286960420761517,0.0,0.0,0.0,68.81190251678183
2,2014-07-16,67.25917481271885,66.32958551633334,71.12749777808031,67.25917481271885,67.25917481271885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.547955537033955,1.547955537033955,1.547955537033955,0.8219549308279793,0.8219549308279793,0.8219549308279793,0.0,0.0,0.0,0.09388871983300587,0.09388871983300587,0.09388871983300587,0.6321118863729701,0.6321118863729701,0.6321118863729701,0.0,0.0,0.0,68.80713034975281
3,2014-07-17,67.18964661640624,66.20384565291099,70.84506377788438,67.18964661640624,67.18964661640624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5185426637823802,1.5185426637823802,1.5185426637823802,0.8219549308279793,0.8219549308279793,0.8219549308279793,0.0,0.0,0.0,0.06007424061813004,0.06007424061813004,0.06007424061813004,0.636513492336271,0.636513492336271,0.636513492336271,0.0,0.0,0.0,68.70818928018862
4,2014-07-18,67.1201184200936,66.27567806106786,70.98990300233696,67.1201184200936,67.1201184200936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5062953860882986,1.5062953860882986,1.5062953860882986,0.8219549308279793,0.8219549308279793,0.8219549308279793,0.0,0.0,0.0,0.04271190315878467,0.04271190315878467,0.04271190315878467,0.6416285521015348,0.6416285521015348,0.6416285521015348,0.0,0.0,0.0,68.6264138061819
5,2014-07-21,66.91153383115572,65.79687252097857,70.62659700983913,66.91153383115572,66.91153383115572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4566688674818344,1.4566688674818344,1.4566688674818344,0.8219549308279793,0.8219549308279793,0.8219549308279793,0.0,0.0,0.0,-0.02373461716121911,-0.02373461716121911,-0.02373461716121911,0.6584485538150745,0.6584485538150745,0.6584485538150745,0.0,0.0,0.0,68.36820269863756
6,2014-07-22,66.8420056348431,66.02188434575967,70.62808793978597,66.8420056348431,66.8420056348431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5181084846714514,1.5181084846714514,1.5181084846714514,0.8219549308279793,0.8219549308279793,0.8219549308279793,0.0,0.0,0.0,0.03254853484621397,0.03254853484621397,0.03254853484621397,0.6636050189972581,0.6636050189972581,0.6636050189972581,0.0,0.0,0.0,68.36011411951456
7,2014-07-23,66.77247743853047,65.9600197665816,70.7726198171988,66.77247743853047,66.77247743853047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.583916522612907,1.583916522612907,1.583916522612907,0.8219549308279793,0.8219549308279793,0.8219549308279793,0.0,0.0,0.0,0.09388871983295477,0.09388871983295477,0.09388871983295477,0.6680728719519731,0.6680728719519731,0.6680728719519731,0.0,0.0,0.0,68.35639396114338
8,2014-07-24,66.70294924221785,65.82909608954098,70.60218066095376,66.70294924221785,66.70294924221785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5536141964455679,1.5536141964455679,1.5536141964455679,0.8219549308279793,0.8219549308279793,0.8219549308279793,0.0,0.0,0.0,0.06007424061811468,0.06007424061811468,0.06007424061811468,0.6715850249994739,0.6715850249994739,0.6715850249994739,0.0,0.0,0.0,68.25656343866342
9,2014-07-25,66.63342104590522,65.96536882866587,70.60335762015019,66.63342104590522,66.63342104590522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538553155734386,1.538553155734386,1.538553155734386,0.8219549308279793,0.8219549308279793,0.8219549308279793,0.0,0.0,0.0,0.04271190315875405,0.04271190315875405,0.04271190315875405,0.6738863217476527,0.6738863217476527,0.6738863217476527,0.0,0.0,0.0,68.17197420163961
