,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-09-24,23.094347686115544,21.675787963990945,25.69767212892768,23.094347686115544,23.094347686115544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5002884572071314,0.5002884572071314,0.5002884572071314,0.9440381873504913,0.9440381873504913,0.9440381873504913,0.0,0.0,0.0,0.07764884669445153,0.07764884669445153,0.07764884669445153,-0.5213985768378113,-0.5213985768378113,-0.5213985768378113,0.0,0.0,0.0,23.594636143322674
1,2014-09-25,23.100613332818977,21.67388250128832,25.652345302678917,23.100613332818977,23.100613332818977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4164330134893415,0.4164330134893415,0.4164330134893415,0.9440381873504913,0.9440381873504913,0.9440381873504913,0.0,0.0,0.0,0.03078278419305659,0.03078278419305659,0.03078278419305659,-0.5583879580542064,-0.5583879580542064,-0.5583879580542064,0.0,0.0,0.0,23.51704634630832
2,2014-09-26,23.10687897952241,21.40703125316802,25.61552008743351,23.10687897952241,23.10687897952241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3863089928958797,0.3863089928958797,0.3863089928958797,0.9440381873504913,0.9440381873504913,0.9440381873504913,0.0,0.0,0.0,0.04259040857936967,0.04259040857936967,0.04259040857936967,-0.6003196030339812,-0.6003196030339812,-0.6003196030339812,0.0,0.0,0.0,23.49318797241829
3,2014-09-29,23.125675919632716,21.315705771591208,25.235010582057395,23.125675919632716,23.125675919632716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1909249423323559,0.1909249423323559,0.1909249423323559,0.9440381873504913,0.9440381873504913,0.9440381873504913,0.0,0.0,0.0,0.0018295391863769304,0.0018295391863769304,0.0018295391863769304,-0.7549427842045123,-0.7549427842045123,-0.7549427842045123,0.0,0.0,0.0,23.31660086196507
4,2014-09-30,23.13194156633615,21.391211680617285,25.323323124079046,23.13194156633615,23.13194156633615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21194996480237127,0.21194996480237127,0.21194996480237127,0.9440381873504913,0.9440381873504913,0.9440381873504913,0.0,0.0,0.0,0.08315802136315534,0.08315802136315534,0.08315802136315534,-0.8152462439112753,-0.8152462439112753,-0.8152462439112753,0.0,0.0,0.0,23.34389153113852
5,2014-10-01,23.138207213039585,21.293503832480873,25.248937429506153,23.138207213039585,23.138207213039585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14246455961180132,0.14246455961180132,0.14246455961180132,0.9440381873504913,0.9440381873504913,0.9440381873504913,0.0,0.0,0.0,0.07764884669440976,0.07764884669440976,0.07764884669440976,-0.8792224744330996,-0.8792224744330996,-0.8792224744330996,0.0,0.0,0.0,23.280671772651388
6,2014-10-02,23.144472859743022,21.177014287405942,25.208027864269006,23.144472859743022,23.144472859743022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02853684966754245,0.02853684966754245,0.02853684966754245,0.9440381873504913,0.9440381873504913,0.9440381873504913,0.0,0.0,0.0,0.030782784193038672,0.030782784193038672,0.030782784193038672,-0.9462841218759874,-0.9462841218759874,-0.9462841218759874,0.0,0.0,0.0,23.173009709410564
7,2014-10-03,23.150738506446455,21.07853673178458,25.112873311674264,23.15073850644646,23.15073850644646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029118095568663755,-0.029118095568663755,-0.029118095568663755,0.9440381873504913,0.9440381873504913,0.9440381873504913,0.0,0.0,0.0,0.042590408579302026,0.042590408579302026,0.042590408579302026,-1.015746691498457,-1.015746691498457,-1.015746691498457,0.0,0.0,0.0,23.121620410877792
8,2014-10-06,23.169535446556758,20.979377774846586,24.954146192980755,23.169535446556758,23.169535446556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2846269518258589,-0.2846269518258589,-0.2846269518258589,0.9440381873504913,0.9440381873504913,0.9440381873504913,0.0,0.0,0.0,0.001829539186220226,0.001829539186220226,0.001829539186220226,-1.2304946783625705,-1.2304946783625705,-1.2304946783625705,0.0,0.0,0.0,22.884908494730897
9,2014-10-07,23.175801093260194,20.80292941462374,24.80198073843698,23.175801093260194,23.175801093260194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2740254156789848,-0.2740254156789848,-0.2740254156789848,0.9440381873504913,0.9440381873504913,0.9440381873504913,0.0,0.0,0.0,0.083158021363259,0.083158021363259,0.083158021363259,-1.301221624392735,-1.301221624392735,-1.301221624392735,0.0,0.0,0.0,22.90177567758121
