,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,70.8107390358952,66.59656552887658,77.06866029056592,70.8107390358952,70.8107390358952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2513049353239973,1.2513049353239973,1.2513049353239973,-0.878269856800646,-0.878269856800646,-0.878269856800646,0.0,0.0,0.0,0.054197408009813625,0.054197408009813625,0.054197408009813625,2.0753773841148297,2.0753773841148297,2.0753773841148297,0.0,0.0,0.0,72.0620439712192
1,2014-07-15,70.91640546283317,66.66126612937501,77.29191281410006,70.91640546283317,70.91640546283317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1382078222229877,1.1382078222229877,1.1382078222229877,-0.878269856800646,-0.878269856800646,-0.878269856800646,0.0,0.0,0.0,-0.18565914311007595,-0.18565914311007595,-0.18565914311007595,2.2021368221337094,2.2021368221337094,2.2021368221337094,0.0,0.0,0.0,72.05461328505615
2,2014-07-16,71.02207188977114,67.23995585571998,77.70100128551866,71.02207188977114,71.02207188977114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3251794417265266,1.3251794417265266,1.3251794417265266,-0.878269856800646,-0.878269856800646,-0.878269856800646,0.0,0.0,0.0,-0.10128502160824976,-0.10128502160824976,-0.10128502160824976,2.304734320135422,2.304734320135422,2.304734320135422,0.0,0.0,0.0,72.34725133149767
3,2014-07-17,71.1277383167091,67.22917972277662,77.65723290036969,71.1277383167091,71.1277383167091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4490355453436636,1.4490355453436636,1.4490355453436636,-0.878269856800646,-0.878269856800646,-0.878269856800646,0.0,0.0,0.0,-0.05356893256222784,-0.05356893256222784,-0.05356893256222784,2.3808743347065375,2.3808743347065375,2.3808743347065375,0.0,0.0,0.0,72.57677386205276
4,2014-07-18,71.23340474364707,67.54724306880347,77.70378869046665,71.23340474364707,71.23340474364707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6173382882898257,1.6173382882898257,1.6173382882898257,-0.878269856800646,-0.878269856800646,-0.878269856800646,0.0,0.0,0.0,0.06674826533308093,0.06674826533308093,0.06674826533308093,2.4288598797573906,2.4288598797573906,2.4288598797573906,0.0,0.0,0.0,72.8507430319369
5,2014-07-21,71.55040402446097,67.9734988705348,78.08119888676885,71.55040402446097,71.55040402446097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5725235251521175,1.5725235251521175,1.5725235251521175,-0.878269856800646,-0.878269856800646,-0.878269856800646,0.0,0.0,0.0,0.054197408009553506,0.054197408009553506,0.054197408009553506,2.3965959739432097,2.3965959739432097,2.3965959739432097,0.0,0.0,0.0,73.1229275496131
6,2014-07-22,71.65607045139895,67.41466637524017,77.85754501923344,71.65607045139895,71.65607045139895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2640502631442116,1.2640502631442116,1.2640502631442116,-0.878269856800646,-0.878269856800646,-0.878269856800646,0.0,0.0,0.0,-0.18565914311015888,-0.18565914311015888,-0.18565914311015888,2.327979263055016,2.327979263055016,2.327979263055016,0.0,0.0,0.0,72.92012071454316
7,2014-07-23,71.76173687833692,68.02767574952325,78.32630750400011,71.7617368783369,71.7617368783369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2529367893172898,1.2529367893172898,1.2529367893172898,-0.878269856800646,-0.878269856800646,-0.878269856800646,0.0,0.0,0.0,-0.10128502160858034,-0.10128502160858034,-0.10128502160858034,2.2324916677265163,2.2324916677265163,2.2324916677265163,0.0,0.0,0.0,73.01467366765421
8,2014-07-24,71.86740330527488,67.54162388552764,78.02768841039958,71.86740330527488,71.86740330527488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1804387861386751,1.1804387861386751,1.1804387861386751,-0.878269856800646,-0.878269856800646,-0.878269856800646,0.0,0.0,0.0,-0.05356893256209794,-0.05356893256209794,-0.05356893256209794,2.112277575501419,2.112277575501419,2.112277575501419,0.0,0.0,0.0,73.04784209141356
9,2014-07-25,71.97306973221285,67.61213311005,78.32448955143451,71.97306973221285,71.97306973221285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1584948714934244,1.1584948714934244,1.1584948714934244,-0.878269856800646,-0.878269856800646,-0.878269856800646,0.0,0.0,0.0,0.06674826533334258,0.06674826533334258,0.06674826533334258,1.9700164629607277,1.9700164629607277,1.9700164629607277,0.0,0.0,0.0,73.13156460370628
