,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,16822.06765192873,16025.144548774226,17275.63341348284,16822.06765192873,16822.06765192873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-157.44327984376292,-157.44327984376292,-157.44327984376292,-581.9118134932659,-581.9118134932659,-581.9118134932659,0.0,0.0,0.0,-50.17142594028285,-50.17142594028285,-50.17142594028285,474.6399595897858,474.6399595897858,474.6399595897858,0.0,0.0,0.0,16664.624372084967
1,2014-07-15,16832.19086610117,16072.737617832727,17407.75328597387,16832.19086610117,16832.19086610117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.64948480894549,-99.64948480894549,-99.64948480894549,-581.9118134932659,-581.9118134932659,-581.9118134932659,0.0,0.0,0.0,-17.42866713427023,-17.42866713427023,-17.42866713427023,499.6909958185905,499.6909958185905,499.6909958185905,0.0,0.0,0.0,16732.541381292223
2,2014-07-16,16842.31408027361,16147.268954334835,17381.836319447975,16842.31408027361,16842.31408027361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.99059514044285,-80.99059514044285,-80.99059514044285,-581.9118134932659,-581.9118134932659,-581.9118134932659,0.0,0.0,0.0,-21.683312103018906,-21.683312103018906,-21.683312103018906,522.6045304558419,522.6045304558419,522.6045304558419,0.0,0.0,0.0,16761.323485133165
3,2014-07-17,16852.43729444605,16149.57281200519,17422.242465990064,16852.43729444605,16852.43729444605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.5613060947079,-67.5613060947079,-67.5613060947079,-581.9118134932659,-581.9118134932659,-581.9118134932659,0.0,0.0,0.0,-28.6915985997197,-28.6915985997197,-28.6915985997197,543.0421059982776,543.0421059982776,543.0421059982776,0.0,0.0,0.0,16784.87598835134
4,2014-07-18,16862.560508618488,16139.756742423191,17454.4305418171,16862.560508618488,16862.560508618488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.69760429554156,-48.69760429554156,-48.69760429554156,-581.9118134932659,-581.9118134932659,-581.9118134932659,0.0,0.0,0.0,-27.502927127458168,-27.502927127458168,-27.502927127458168,560.7171363251824,560.7171363251824,560.7171363251824,0.0,0.0,0.0,16813.862904322945
5,2014-07-21,16892.93015113581,16217.77471765066,17531.489881835056,16892.93015113581,16892.93015113581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.88966423657746,-36.88966423657746,-36.88966423657746,-581.9118134932659,-581.9118134932659,-581.9118134932659,0.0,0.0,0.0,-50.171425940277146,-50.171425940277146,-50.171425940277146,595.1935751969655,595.1935751969655,595.1935751969655,0.0,0.0,0.0,16856.040486899234
6,2014-07-22,16903.053365308246,16260.287567325793,17565.25498643066,16903.053365308246,16903.053365308246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8253089176654952,0.8253089176654952,0.8253089176654952,-581.9118134932659,-581.9118134932659,-581.9118134932659,0.0,0.0,0.0,-17.428667134233354,-17.428667134233354,-17.428667134233354,600.1657895451647,600.1657895451647,600.1657895451647,0.0,0.0,0.0,16903.87867422591
7,2014-07-23,16913.176579480685,16299.97020896475,17530.200041027707,16913.176579480685,16913.176579480685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7214632192322323,-1.7214632192322323,-1.7214632192322323,-581.9118134932659,-581.9118134932659,-581.9118134932659,0.0,0.0,0.0,-21.683312102984093,-21.683312102984093,-21.683312102984093,601.8736623770177,601.8736623770177,601.8736623770177,0.0,0.0,0.0,16911.45511626145
8,2014-07-24,16923.29979365313,16240.710761106162,17556.036288847125,16923.29979365313,16923.29979365313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.192833274933284,-10.192833274933284,-10.192833274933284,-581.9118134932659,-581.9118134932659,-581.9118134932659,0.0,0.0,0.0,-28.69159859976924,-28.69159859976924,-28.69159859976924,600.4105788181018,600.4105788181018,600.4105788181018,0.0,0.0,0.0,16913.106960378194
9,2014-07-25,16933.423007825568,16276.09190653441,17525.61478177468,16933.423007825568,16933.423007825568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.48550604479482,-13.48550604479482,-13.48550604479482,-581.9118134932659,-581.9118134932659,-581.9118134932659,0.0,0.0,0.0,-27.5029271274961,-27.5029271274961,-27.5029271274961,595.9292345759671,595.9292345759671,595.9292345759671,0.0,0.0,0.0,16919.937501780772
