,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,165.10581599291706,165.96263689822968,189.59023715319324,165.10581599291706,165.10581599291706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.790219757011553,11.790219757011553,11.790219757011553,3.3953914033147945,3.3953914033147945,3.3953914033147945,0.0,0.0,0.0,-0.15017353560965863,-0.15017353560965863,-0.15017353560965863,8.545001889306418,8.545001889306418,8.545001889306418,0.0,0.0,0.0,176.89603574992861
1,2014-07-15,165.2547246974799,166.03096002344623,190.00793425635476,165.2547246974799,165.2547246974799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.621859400292509,12.621859400292509,12.621859400292509,3.3953914033147945,3.3953914033147945,3.3953914033147945,0.0,0.0,0.0,0.3180083644234303,0.3180083644234303,0.3180083644234303,8.908459632554283,8.908459632554283,8.908459632554283,0.0,0.0,0.0,177.87658409777242
2,2014-07-16,165.40363340204271,167.1111341269234,190.20963187317082,165.40363340204271,165.40363340204271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.984790129837899,12.984790129837899,12.984790129837899,3.3953914033147945,3.3953914033147945,3.3953914033147945,0.0,0.0,0.0,0.3488701814227151,0.3488701814227151,0.3488701814227151,9.24052854510039,9.24052854510039,9.24052854510039,0.0,0.0,0.0,178.38842353188062
3,2014-07-17,165.55254210660556,166.30083531083852,191.23948721707492,165.55254210660556,165.55254210660556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.190865482138056,13.190865482138056,13.190865482138056,3.3953914033147945,3.3953914033147945,3.3953914033147945,0.0,0.0,0.0,0.2588524685902433,0.2588524685902433,0.2588524685902433,9.53662161023302,9.53662161023302,9.53662161023302,0.0,0.0,0.0,178.74340758874362
4,2014-07-18,165.70145081116837,166.0855459399703,190.61476555347159,165.70145081116837,165.70145081116837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.261397231254918,13.261397231254918,13.261397231254918,3.3953914033147945,3.3953914033147945,3.3953914033147945,0.0,0.0,0.0,0.07329087622263276,0.07329087622263276,0.07329087622263276,9.79271495171749,9.79271495171749,9.79271495171749,0.0,0.0,0.0,178.96284804242327
5,2014-07-21,166.1481769248569,166.61557166165153,192.13279434898215,166.1481769248569,166.1481769248569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.536137755169182,13.536137755169182,13.536137755169182,3.3953914033147945,3.3953914033147945,3.3953914033147945,0.0,0.0,0.0,-0.15017353560946284,-0.15017353560946284,-0.15017353560946284,10.290919887463849,10.290919887463849,10.290919887463849,0.0,0.0,0.0,179.6843146800261
6,2014-07-22,166.29708562941974,168.58874196065412,193.1586174458084,166.29708562941974,166.29708562941974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.074147883128031,14.074147883128031,14.074147883128031,3.3953914033147945,3.3953914033147945,3.3953914033147945,0.0,0.0,0.0,0.31800836442351593,0.31800836442351593,0.31800836442351593,10.360748115389722,10.360748115389722,10.360748115389722,0.0,0.0,0.0,180.37123351254778
7,2014-07-23,166.44599433398255,168.67802615349007,192.0976861447445,166.44599433398255,166.44599433398255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.125643897896415,14.125643897896415,14.125643897896415,3.3953914033147945,3.3953914033147945,3.3953914033147945,0.0,0.0,0.0,0.3488701814229269,0.3488701814229269,0.3488701814229269,10.381382313158696,10.381382313158696,10.381382313158696,0.0,0.0,0.0,180.57163823187898
8,2014-07-24,166.5949030385454,168.04483285342974,193.06045898608988,166.5949030385454,166.5949030385454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.007665708753464,14.007665708753464,14.007665708753464,3.3953914033147945,3.3953914033147945,3.3953914033147945,0.0,0.0,0.0,0.25885246859005306,0.25885246859005306,0.25885246859005306,10.353421836848618,10.353421836848618,10.353421836848618,0.0,0.0,0.0,180.60256874729885
9,2014-07-25,166.74381174310824,168.7858997979742,193.33292378668122,166.74381174310824,166.74381174310824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.746956951717046,13.746956951717046,13.746956951717046,3.3953914033147945,3.3953914033147945,3.3953914033147945,0.0,0.0,0.0,0.07329087622212652,0.07329087622212652,0.07329087622212652,10.278274672180123,10.278274672180123,10.278274672180123,0.0,0.0,0.0,180.49076869482528
