,ds,trend,trend_lower,trend_upper,yhat,yhat_lower,yhat_upper
0,2014-07-14,4338.6513326724735,4338.6513326724735,4338.6513326724735,4335.765167130883,4109.387516552638,4552.164032231581
1,2014-07-15,4344.143524236457,4344.143524236457,4344.143524236457,4362.261041955798,4136.289817906083,4591.120743016933
2,2014-07-16,4349.63571580044,4349.63571580044,4349.63571580044,4377.4950349361125,4169.188509762753,4611.398569110785
3,2014-07-17,4355.127907364424,4355.127907364424,4355.127907364424,4386.493559235378,4167.819583900669,4606.963600578008
4,2014-07-18,4360.620098928408,4360.620098928408,4360.620098928408,4400.595396812397,4187.094930342329,4606.5221226407175
5,2014-07-21,4377.096673620358,4377.096673620358,4377.096673620358,4424.618978187365,4191.180026641883,4637.119740718166
6,2014-07-22,4382.588865184342,4382.588865184342,4382.588865184342,4444.281725808665,4204.5494663150575,4666.113107174657
7,2014-07-23,4388.081056748325,4388.081056748325,4388.081056748325,4452.129670723473,4228.924632486375,4660.119086324331
8,2014-07-24,4393.573248312308,4393.573248312308,4393.573248312308,4453.331974486386,4224.081767119921,4671.431577140363
9,2014-07-25,4399.065439876292,4399.065439876292,4399.065439876292,4459.375765403167,4246.3814345179035,4685.136157042189
10,2014-07-28,4415.542014568243,4415.542014568243,4415.542014568243,4459.146973193122,4237.602437308103,4669.090551011939
11,2014-07-29,4421.034206132226,4421.034206132226,4421.034206132226,4471.1759924392245,4275.8868779565655,4704.257565230637
12,2014-07-30,4426.526397696209,4426.526397696209,4426.526397696209,4471.831880681059,4249.842212338757,4681.356989078675
13,2014-07-31,4432.018589260193,4432.018589260193,4432.018589260193,4466.394709710097,4241.6365036419265,4676.613884908008
14,2014-08-01,4437.510780824176,4437.510780824176,4437.510780824176,4466.446628264602,4248.065495846743,4671.284801894635
15,2014-08-04,4453.987355516127,4453.987355516127,4453.987355516127,4452.80704055949,4224.756245200106,4673.320005714248
16,2014-08-05,4459.47954708011,4459.47954708011,4459.47954708011,4462.017292290485,4246.233925769407,4675.861117181538
